species	scaffold	mixed_groups	genestring	charAcount	charBcount	m	mode	mean	bases_covered_mixing	scaffold_total_bases	percent_scaffold_mixing	m_percent_of_way_to_mode	p_value_unmixed	num_iterations
Cowczarzaki	NW_011887292.1	ALG_1+ALG_43	BAAAAABBBB	5	5	0.25	1.0	0.9994925	798300	3794338	21.039243209223848	25.0	0.04013	100000
Nvectensis	NC_064036.1	ALG_1+ALG_45	ABBABABBAA	5	5	1.25	1.0	1.0008125	7973438	20793841	38.34519077067099	100.0	0.83081	100000
Celegans	NC_003282.8	ALG_1+ALG_47	BBABAAA	4	3	0.823529411764706	0.823529411764706	1.0040511764705882	781507	17493829	4.467329593767037	100.0	0.53922	100000
Celegans	NC_003282.8	ALG_1+ALG_49	BBBABBBABBABA	4	9	1.3220338983050848	1.1016949152542372	0.9977544067796612	6880563	17493829	39.33137222274209	100.0	0.90209	100000
Pverrucosa	NC_089314.1	ALG_1+ALG_50	AAAAABBBBBBBBBBB	5	11	0.0	1.1914893617021276	0.9997565957446808	0	32159411	0.0	0.0	0.00051	100000
Mleidyi	CM108480.1	ALG_1+ALG_52	BABBABABBAABBB	9	5	1.2894736842105263	0.9210526315789472	0.9997934210526316	6342799	14925576	42.49617569197999	100.0	0.90248	100000
Celegans	NC_003282.8	ALG_1+ALG_52	BBBABABABA	4	6	1.5789473684210524	1.052631578947368	0.9999631578947366	6887574	17493829	39.37144921217648	100.0	0.9757	100000
Bmicroptera	NC_087079.1	ALG_1+ALG_52	ABAAABBBABBBBB	9	5	0.7368421052631579	0.9210526315789472	1.000023684210526	6595902	18467570	35.71613374147221	80.0	0.28806	100000
Cowczarzaki	NW_011887292.1	ALG_1+ALG_53	AABAABBBBBABBB	9	5	0.7368421052631579	0.9210526315789472	1.0005652631578947	358512	3794338	9.448604736847376	80.0	0.2862	100000
Cowczarzaki	NW_011887292.1	ALG_1+ALG_54	ABBABABABABBB	8	5	1.552238805970149	0.9701492537313432	1.001071791044776	798300	3794338	21.039243209223848	100.0	0.98384	100000
Hpanicea	NC_087379.1	ALG_1+ALG_54	BABABABABABBB	5	8	1.7462686567164178	0.9701492537313432	0.9994497014925372	1701677	8483533	20.058588797851083	100.0	1.0	100000
Acrassa	OZ181676.1	ALG_1+ALG_54	BABABABBBAABB	8	5	1.3582089552238803	0.9701492537313432	1.0030644776119402	2961057	8694439	34.05690694937304	100.0	0.92771	100000
Bcyanae	OZ177746.1	ALG_1+ALG_54	ABBABAABAB	5	5	1.5	1.0	0.9990125	3885774	4681714	82.99896149145377	100.0	0.96039	100000
Ccandelabrum	NC_085090.1	ALG_1+ALG_54	ABBABBBABABAB	5	8	1.552238805970149	0.9701492537313432	1.0002646268656716	8317917	8846715	94.02266264935628	100.0	0.98365	100000
Srosetta	NW_004457740.1	ALG_1+ALG_54	ABABBAB	3	4	1.647058823529412	0.823529411764706	0.9988958823529414	1401384	2682829	52.235308325651765	100.0	0.97143	100000
Olobularis	NC_089193.1	ALG_1+ALG_54	ABBABABABBABB	8	5	1.552238805970149	0.9701492537313432	0.9996437313432835	499687	2167890	23.049462841749357	100.0	0.98406	100000
Abeatrix	OY725500.1	ALG_1+ALG_54	ABBABAABAB	5	5	1.5	1.0	0.9993025	3694332	4310164	85.71209819394343	100.0	0.96135	100000
Davara	NC_089275.1	ALG_1+ALG_54	ABBABABBBABAB	8	5	1.552238805970149	0.9701492537313432	0.9989859701492536	25277116	50154164	50.39883826993906	100.0	0.98436	100000
Celegans	NC_003282.8	ALG_1+ALG_54	BBABABABAB	4	6	1.8421052631578945	1.052631578947368	1.0007973684210525	9036545	17493829	51.6556152458104	100.0	1.0	100000
Nvectensis	NC_064036.1	ALG_1+ALG_54	ABBABABBBABAB	8	5	1.552238805970149	0.9701492537313432	0.9999522388059702	17220247	20793841	82.81417079220718	100.0	0.98342	100000
Hsymbiolongicarpus	NC_079889.1	ALG_1+ALG_54	ABBABBBABAAB	5	7	1.2413793103448274	0.8275862068965516	0.998573793103448	8768562	11552000	75.905141966759	100.0	0.85487	100000
Mleidyi	CM108480.1	ALG_1+ALG_54	BABABBBABABAB	8	5	1.7462686567164178	0.9701492537313432	1.0003092537313432	6342799	14925576	42.49617569197999	100.0	1.0	100000
Bmicroptera	NC_087079.1	ALG_1+ALG_54	BABABABABBABB	8	5	1.7462686567164178	0.9701492537313432	1.000476119402985	9065747	18467570	49.090091441375336	100.0	1.0	100000
Pverrucosa	NC_089314.1	ALG_1+ALG_54	ABBABAABBBBAB	5	8	1.164179104477612	0.9701492537313432	0.9993973134328356	11781663	32159411	36.63519521548452	100.0	0.79482	100000
Sciliatum	NC_088650.1	ALG_1+ALG_54	ABABAB	3	3	2.0	1.0	0.997935	17157539	34307216	50.011458230828175	100.0	1.0	100000
Cowczarzaki	NW_011887292.1	ALG_1+ALG_58	BBAABAAABBBB	7	5	0.6206896551724137	0.8275862068965516	0.9970779310344824	798300	3794338	21.039243209223848	75.0	0.19936	100000
Celegans	NC_003282.8	ALG_1+ALG_6	BBBABBBABBABBA	4	10	1.272727272727273	1.0606060606060608	1.0001175757575758	7115131	17493829	40.67223362020973	100.0	0.87491	100000
Cowczarzaki	NW_011887292.1	ALG_1+ALG_61	BABAAABABBB	6	5	1.1224489795918369	0.8979591836734695	0.9996238775510202	798300	3794338	21.039243209223848	100.0	0.73923	100000
Cowczarzaki	NW_011887292.1	ALG_1+ALG_63	ABABAABABBB	6	5	1.3469387755102042	0.8979591836734695	1.0003467346938777	685178	3794338	18.05790628035773	100.0	0.91088	100000
Cowczarzaki	NW_011887292.1	ALG_1+ALG_64	AAAAABBBBBB	6	5	0.0	0.8979591836734695	0.999592448979592	0	3794338	0.0	0.0	0.00401	100000
Cowczarzaki	NW_011887292.1	ALG_1+ALG_67	BABBBAAAABB	6	5	0.6734693877551021	0.8979591836734695	0.9994914285714288	798300	3794338	21.039243209223848	75.0	0.26244	100000
Pverrucosa	NC_089314.1	ALG_1+ALG_7	AAAAABBBBBBBBBBB	5	11	0.0	1.0212765957446808	1.0009293617021275	0	32159411	0.0	0.0	0.00051	100000
Mleidyi	CM108480.1	ALG_1+ALG_70	BABBABABBAABBB	9	5	1.2894736842105263	0.9210526315789472	1.0006592105263157	6342799	14925576	42.49617569197999	100.0	0.9019	100000
Bmicroptera	NC_087079.1	ALG_1+ALG_70	ABAAABBBABBBBB	9	5	0.7368421052631579	1.1052631578947367	0.999355	6595902	18467570	35.71613374147221	66.66666666666667	0.28795	100000
Celegans	NC_003282.8	ALG_1+ALG_70	BBBABABABA	4	6	1.5789473684210524	1.052631578947368	0.998681578947368	6887574	17493829	39.37144921217648	100.0	0.97651	100000
Celegans	NC_003282.8	ALG_1+ALG_71	BBABABBABBA	4	7	1.4666666666666668	0.9777777777777776	1.0004353333333331	7115131	17493829	40.67223362020973	100.0	0.95463	100000
Pverrucosa	NC_089314.1	ALG_1+ALG_72	AAAAABBBBBBBB	5	8	0.0	0.9701492537313432	0.999234328358209	0	32159411	0.0	0.0	0.0014	100000
Celegans	NC_003282.8	ALG_1+ALG_9	BBBABABABA	4	6	1.5789473684210524	1.052631578947368	0.9992368421052632	6887574	17493829	39.37144921217648	100.0	0.97619	100000
Bmicroptera	NC_087079.1	ALG_1+ALG_9	ABAAABBBABBBBB	9	5	0.7368421052631579	1.1052631578947367	0.9997013157894736	6595902	18467570	35.71613374147221	66.66666666666667	0.2877	100000
Mleidyi	CM108480.1	ALG_1+ALG_9	BABBABABBAABBB	9	5	1.2894736842105263	1.1052631578947367	1.0006205263157892	6342799	14925576	42.49617569197999	100.0	0.90099	100000
Sciliatum	NC_088643.1	ALG_10+ALG_11	BBBBAAAAA	5	4	0.0	1.161290322580645	1.0003006451612904	0	97974678	0.0	0.0	0.01586	100000
Sciliatum	NC_088643.1	ALG_10+ALG_12	BAAAABBA	5	3	0.7272727272727273	0.7272727272727273	1.0013127272727271	38458081	97974678	39.25308231173773	100.0	0.4288	100000
Sciliatum	NC_088646.1	ALG_10+ALG_12	ABABAB	3	3	2.0	1.0	1.00027	28976139	42331803	68.45004688319088	100.0	1.0	100000
Sciliatum	NC_088643.1	ALG_10+ALG_13	BBABAAABA	5	4	1.161290322580645	1.161290322580645	1.0003354838709675	36858484	97974678	37.62041861469552	100.0	0.78523	100000
Cowczarzaki	NW_011887292.1	ALG_10+ALG_15	BBBABBAAAAABAABBA	8	9	0.8031496062992126	1.0708661417322831	1.0000725196850395	2401095	3794338	63.28099921514636	75.00000000000001	0.31962	100000
Sciliatum	NC_088643.1	ALG_10+ALG_15	BBAAAABA	5	3	0.7272727272727273	1.0909090909090908	1.0006727272727274	37272552	97974678	38.043046183831294	66.66666666666667	0.42767	100000
Cowczarzaki	NW_011887292.1	ALG_10+ALG_19	BBABAAAAABABABA	6	9	1.2903225806451617	0.9677419354838712	0.9998677419354838	1313932	3794338	34.628754739298394	100.0	0.90061	100000
Cowczarzaki	NW_011887292.1	ALG_10+ALG_20	BBBAAAAAAAABBBA	6	9	0.3225806451612903	0.9677419354838712	1.0019677419354838	2207338	3794338	58.17452214325661	33.33333333333333	0.01985	100000
Sciliatum	NC_088643.1	ALG_10+ALG_21	ABABAABBA	4	5	1.4516129032258065	1.161290322580645	0.9995632258064516	35868894	97974678	36.610371916710974	100.0	0.92793	100000
Cowczarzaki	NW_011887292.1	ALG_10+ALG_23	BBBBAAAAAAAABAB	6	9	0.4838709677419355	0.9677419354838712	1.0002145161290323	2519874	3794338	66.41142671000844	50.0	0.06276	100000
Sciliatum	NC_088646.1	ALG_10+ALG_25	ABBABBA	4	3	1.2352941176470589	0.823529411764706	1.0023011764705885	17329953	42331803	40.93837675659598	100.0	0.79877	100000
Cowczarzaki	NW_011887292.1	ALG_10+ALG_25	AAAAAAAABBBBABB	6	9	0.3225806451612903	0.9677419354838712	0.9987983870967744	1088974	3794338	28.699973486811132	33.33333333333333	0.01951	100000
Sciliatum	NC_088646.1	ALG_10+ALG_28	ABBBAA	3	3	0.5	1.0	0.996455	11576828	42331803	27.347826408433395	50.0	0.30262	100000
Cowczarzaki	NW_011887292.1	ALG_10+ALG_28	BABAAAAAABABBA	5	9	1.1052631578947367	0.9210526315789472	1.0011215789473686	1009286	3794338	26.5997915841973	100.0	0.7316	100000
Bmicroptera	NC_087080.1	ALG_10+ALG_30	AABABAABABABAA	5	9	1.657894736842105	1.1052631578947367	0.9985113157894736	11431811	17428893	65.59114798627773	100.0	1.0	100000
Sciliatum	NC_088643.1	ALG_10+ALG_30	BBAAAABA	5	3	0.7272727272727273	1.0909090909090908	1.00008	35517633	97974678	36.25184968712018	66.66666666666667	0.42716	100000
Mleidyi	CM108487.1	ALG_10+ALG_30	BAAAAAABAABBAB	5	9	0.9210526315789472	0.9210526315789472	1.0008728947368422	11037173	14606143	75.56528099170329	100.0	0.51034	100000
Cowczarzaki	NW_011887292.1	ALG_10+ALG_31	BABBAAAAAAABBA	5	9	0.7368421052631579	1.1052631578947367	1.002392631578947	2432781	3794338	64.11608559912165	66.66666666666667	0.28442	100000
Nvectensis	NC_064034.1	ALG_10+ALG_31	BAAABAAAABABAB	5	9	1.2894736842105263	1.1052631578947367	0.999848684210526	16919391	22168631	76.32131636816004	100.0	0.90211	100000
Sciliatum	NC_088646.1	ALG_10+ALG_33	BBAAAB	3	3	0.5	1.0	0.99949	29051994	42331803	68.62923840026374	50.0	0.30063	100000
Sciliatum	NC_088643.1	ALG_10+ALG_34	BBBBAAAAA	5	4	0.0	1.161290322580645	0.99801	0	97974678	0.0	0.0	0.01671	100000
Cowczarzaki	NW_011887292.1	ALG_10+ALG_34	AAAAAAABABBBAB	5	9	0.7368421052631579	1.1052631578947367	1.0006923684210525	2058870	3794338	54.261639316265445	66.66666666666667	0.28612	100000
Celegans	NC_003280.10	ALG_10+ALG_34	AABBAABB	4	4	0.6666666666666666	1.3333333333333333	0.9997266666666668	2099627	15279421	13.741535101362809	50.0	0.3715	100000
Cowczarzaki	NW_011887292.1	ALG_10+ALG_38	BABBAAAAAAABBA	5	9	0.7368421052631579	1.1052631578947367	1.0018234210526316	1186631	3794338	31.27372943580672	66.66666666666667	0.28494	100000
Sciliatum	NC_088643.1	ALG_10+ALG_40	BBBAAAAA	5	3	0.0	0.7272727272727273	0.9996436363636364	0	97974678	0.0	0.0	0.03527	100000
Nvectensis	NC_064034.1	ALG_10+ALG_41	AAABBBAAAABBAA	5	9	0.5526315789473684	1.1052631578947367	1.0018547368421054	10371852	22168631	46.786163746421686	50.0	0.11835	100000
Sciliatum	NC_088643.1	ALG_10+ALG_42	BAABAAAB	5	3	1.0909090909090908	0.7272727272727273	0.9982290909090908	43175552	97974678	44.06807236457567	100.0	0.71575	100000
Cowczarzaki	NW_011887292.1	ALG_10+ALG_43	BAAAAAAAABABBB	5	9	0.5526315789473684	1.1052631578947367	0.9997694736842104	2519874	3794338	66.41142671000844	50.0	0.11904	100000
Sciliatum	NC_088646.1	ALG_10+ALG_44	ABBABA	3	3	1.5	1.0	1.000605	7868114	42331803	18.58676796733652	100.0	0.89931	100000
Sciliatum	NC_088646.1	ALG_10+ALG_46	BBBABBBBAA	3	7	0.6250000000000001	0.9375000000000002	1.0007062500000004	17112686	42331803	40.42512906903588	66.66666666666666	0.28349	100000
Sciliatum	NC_088643.1	ALG_10+ALG_46	BBAABBAABBBA	5	7	0.8275862068965516	1.0344827586206895	1.0021799999999998	42693427	97974678	43.5759809284599	80.0	0.42192	100000
Celegans	NC_003280.10	ALG_10+ALG_48	ABAABAB	4	3	1.647058823529412	0.823529411764706	1.000044705882353	2960595	15279421	19.376355949613536	100.0	0.97218	100000
Sciliatum	NC_088643.1	ALG_10+ALG_48	BBBBAAAAA	5	4	0.0	1.161290322580645	0.9996009677419352	0	97974678	0.0	0.0	0.01581	100000
Nvectensis	NC_064034.1	ALG_10+ALG_49	BAAABBBBBBAAAABBBBABA	12	9	0.6461538461538462	1.076923076923077	0.9990324615384618	15079243	22168631	68.02063239719223	60.0	0.10431	100000
Sciliatum	NC_088643.1	ALG_10+ALG_49	BABAAABA	5	3	1.4545454545454546	1.0909090909090908	0.9990254545454544	41243415	97974678	42.09599443644	100.0	0.92879	100000
Sciliatum	NC_088643.1	ALG_10+ALG_50	BBBBBBBAAAAA	5	7	0.0	0.8275862068965516	1.0005248275862066	0	97974678	0.0	0.0	0.00239	100000
Sciliatum	NC_088646.1	ALG_10+ALG_51	BABBBBBABBA	3	8	1.1891891891891893	0.891891891891892	0.9994064864864868	27888642	42331803	65.88106346427058	100.0	0.78702	100000
Nvectensis	NC_064034.1	ALG_10+ALG_52	BBAAABBBAAAAABBBBA	9	9	0.5	1.0	0.9979425	15623663	22168631	70.47644484677471	50.0	0.04454	100000
Harmigera	NC_087123.1	ALG_10+ALG_53	ABBABAAB	4	4	1.3333333333333333	0.6666666666666666	1.00035	7812890	13967672	55.93552024990277	100.0	0.88511	100000
Bmicroptera	NC_087080.1	ALG_10+ALG_53	ABBAABBABAABBAABAB	9	9	1.25	1.0	1.00023125	14499996	17428893	83.19516334169933	100.0	0.89211	100000
Sciliatum	NC_088646.1	ALG_10+ALG_53	ABABAB	3	3	2.0	1.0	1.001115	29051994	42331803	68.62923840026374	100.0	1.0	100000
Sciliatum	NC_088643.1	ALG_10+ALG_53	ABBABAABAB	5	5	1.5	1.0	0.997965	43175552	97974678	44.06807236457567	100.0	0.96069	100000
Mleidyi	CM108487.1	ALG_10+ALG_53	ABBAABBABAABBAABAB	9	9	1.25	1.0	1.0007125	11037173	14606143	75.56528099170329	100.0	0.88882	100000
Pverrucosa	NC_089323.1	ALG_10+ALG_53	ABBAABBABAABBAABAB	9	9	1.25	1.0	1.0001575	11609253	21123342	54.95935728352076	100.0	0.89141	100000
Hsymbiolongicarpus	NC_079876.1	ALG_10+ALG_53	ABBAABBABAABBAABAB	9	9	1.25	1.0	1.00078125	17299304	39956072	43.29580745574791	100.0	0.89027	100000
Hpanicea	NC_087380.1	ALG_10+ALG_53	ABBAABBABAABBAABAB	9	9	1.25	1.0	1.00125375	5290439	7813905	67.70544305312133	100.0	0.88998	100000
Nvectensis	NC_064034.1	ALG_10+ALG_53	ABBAABBABAABBAABAB	9	9	1.25	1.0	1.0000825	16919391	22168631	76.32131636816004	100.0	0.89089	100000
Ccandelabrum	NC_085094.1	ALG_10+ALG_53	ABBAABBABAABBAABAB	9	9	1.25	1.0	0.9997225	7973773	8518405	93.60640871149	100.0	0.89125	100000
Celegans	NC_003280.10	ALG_10+ALG_53	ABBABAAB	4	4	1.3333333333333333	1.0	0.9996566666666664	3603024	15279421	23.580893543021038	100.0	0.88513	100000
Acrassa	OZ181686.1	ALG_10+ALG_53	ABBAABBABAABBAABAB	9	9	1.25	1.0	1.000025	3302243	6490839	50.87544152612629	100.0	0.88928	100000
Srosetta	NW_004754899.1	ALG_10+ALG_53	ABABAB	3	3	2.0	1.0	0.99865	376934	753186	50.04527434126498	100.0	1.0	100000
Cowczarzaki	NW_011887292.1	ALG_10+ALG_53	ABBAABBABAABBAABAB	9	9	1.25	1.0	0.9982	2519874	3794338	66.41142671000844	100.0	0.89198	100000
Olobularis	NC_089182.1	ALG_10+ALG_53	ABBAABBABAABBAAB	8	8	1.1428571428571428	1.0	0.9989457142857142	1149049	3475296	33.06334194267193	100.0	0.78783	100000
Davara	NC_089276.1	ALG_10+ALG_53	ABBAABBABAABBAABAB	9	9	1.25	1.0	1.000915	36981037	42192760	87.64782630953746	100.0	0.89249	100000
Cowczarzaki	NW_011887292.1	ALG_10+ALG_54	BBBABBAAAAABAABBA	8	9	0.8031496062992126	1.0708661417322831	1.000126062992126	2401095	3794338	63.28099921514636	75.00000000000001	0.31849	100000
Sciliatum	NC_088643.1	ALG_10+ALG_54	BBAAAABA	5	3	0.7272727272727273	1.0909090909090908	1.0014327272727273	37272552	97974678	38.043046183831294	66.66666666666667	0.42673	100000
Sciliatum	NC_088643.1	ALG_10+ALG_55	BAAAABBA	5	3	0.7272727272727273	1.0909090909090908	1.0035963636363636	38458081	97974678	39.25308231173773	66.66666666666667	0.42555	100000
Sciliatum	NC_088646.1	ALG_10+ALG_55	ABABAB	3	3	2.0	1.0	0.99939	28976139	42331803	68.45004688319088	100.0	1.0	100000
Cowczarzaki	NW_011887292.1	ALG_10+ALG_58	BBABAAAAABABABBA	7	9	1.1636363636363636	1.018181818181818	1.000709818181818	2044902	3794338	53.89351185898568	100.0	0.80515	100000
Sciliatum	NC_088643.1	ALG_10+ALG_59	BBAAAABA	5	3	0.7272727272727273	1.0909090909090908	1.00096	36858484	97974678	37.62041861469552	66.66666666666667	0.42747	100000
Cowczarzaki	NW_011887292.1	ALG_10+ALG_61	BBABAAAAAABABBA	6	9	0.9677419354838712	0.9677419354838712	1.0009048387096775	1009286	3794338	26.5997915841973	100.0	0.56624	100000
Sciliatum	NC_088646.1	ALG_10+ALG_61	ABBBAA	3	3	0.5	1.0	0.99849	11576828	42331803	27.347826408433395	50.0	0.30072	100000
Cowczarzaki	NW_011887292.1	ALG_10+ALG_63	BABBAAAAAAABBAB	6	9	0.8064516129032259	0.9677419354838712	0.999751612903226	2519874	3794338	66.41142671000844	83.33333333333333	0.34337	100000
Cowczarzaki	NW_011887292.1	ALG_10+ALG_64	AAAAAAAABBBBABB	6	9	0.3225806451612903	0.9677419354838712	0.9987258064516132	1088974	3794338	28.699973486811132	33.33333333333333	0.01912	100000
Sciliatum	NC_088646.1	ALG_10+ALG_64	ABBABBA	4	3	1.2352941176470589	0.823529411764706	0.9980229411764706	17329953	42331803	40.93837675659598	100.0	0.80067	100000
Sciliatum	NC_088643.1	ALG_10+ALG_65	BBAAAABA	5	3	0.7272727272727273	0.7272727272727273	1.0013527272727272	35517633	97974678	36.25184968712018	100.0	0.42812	100000
Bmicroptera	NC_087080.1	ALG_10+ALG_65	BAABABAABABABAA	6	9	1.6129032258064515	0.9677419354838712	1.0004000000000002	11943841	17428893	68.52897083021854	100.0	0.99429	100000
Mleidyi	CM108487.1	ALG_10+ALG_65	BAAAABAABAABBAB	6	9	1.1290322580645162	0.9677419354838712	1.000472580645161	11037173	14606143	75.56528099170329	100.0	0.76118	100000
Sciliatum	NC_088643.1	ALG_10+ALG_66	ABABAABBA	4	5	1.4516129032258065	1.161290322580645	0.9997432258064516	35868894	97974678	36.610371916710974	100.0	0.92836	100000
Cowczarzaki	NW_011887292.1	ALG_10+ALG_67	BBBBAAAAAAAABAB	6	9	0.4838709677419355	0.9677419354838712	0.999267741935484	2519874	3794338	66.41142671000844	50.0	0.06296	100000
Sciliatum	NC_088643.1	ALG_10+ALG_68	BABABAAAB	5	4	1.4516129032258065	1.161290322580645	0.9966454838709676	43175552	97974678	44.06807236457567	100.0	0.92908	100000
Nvectensis	NC_064034.1	ALG_10+ALG_70	BBAAABBBAAAAABBBBA	9	9	0.5	1.0	0.99915125	15623663	22168631	70.47644484677471	50.0	0.04384	100000
Nvectensis	NC_064034.1	ALG_10+ALG_71	BAAABBBBAAAABBBABA	9	9	0.75	1.0	1.00013125	15314392	22168631	69.08136095548706	75.0	0.23954	100000
Sciliatum	NC_088643.1	ALG_10+ALG_72	BBBBBBBBAAAAA	5	8	0.0	0.9701492537313432	0.998999552238806	0	97974678	0.0	0.0	0.00178	100000
Sciliatum	NC_088646.1	ALG_10+ALG_73	BABBBBBABBA	3	8	1.1891891891891893	0.891891891891892	1.002007837837838	27888642	42331803	65.88106346427058	100.0	0.78752	100000
